"date","Tamil Nadu/Airport Quarantine","Tamil Nadu/Airport quarantine","Tamil Nadu/Ariyalur","Tamil Nadu/CHENNAI","Tamil Nadu/Chengalpattu","Tamil Nadu/Chennai","Tamil Nadu/Coimbatore","Tamil Nadu/Cuddalore","Tamil Nadu/Dharmapuri","Tamil Nadu/Dindigul","Tamil Nadu/Erode","Tamil Nadu/KARUR","Tamil Nadu/Kallakurichi","Tamil Nadu/Kancheepuram","Tamil Nadu/Kanyakumari","Tamil Nadu/Karur","Tamil Nadu/Krishnagiri","Tamil Nadu/MADURAI","Tamil Nadu/Madurai","Tamil Nadu/Nagapattinam","Tamil Nadu/Namakkal","Tamil Nadu/Nilgiris","Tamil Nadu/Other State","Tamil Nadu/Perambalur","Tamil Nadu/Pudukkottai","Tamil Nadu/Railway Quarantine","Tamil Nadu/Ramanathapuram","Tamil Nadu/Ranipet","Tamil Nadu/Salem","Tamil Nadu/Sivaganga","Tamil Nadu/TENKASI","Tamil Nadu/Tenkasi","Tamil Nadu/Thanjavur","Tamil Nadu/Theni","Tamil Nadu/Thiruvallur","Tamil Nadu/Thiruvarur","Tamil Nadu/Thoothukkudi","Tamil Nadu/Tiruchirappalli","Tamil Nadu/Tirunelveli","Tamil Nadu/Tirupathur","Tamil Nadu/Tiruppur","Tamil Nadu/Tiruvannamalai","Tamil Nadu/Vellore","Tamil Nadu/Viluppuram","Tamil Nadu/Virudhunagar","Tamil Nadu/chengalpattu","Tamil Nadu/chennai"
"2020-07-30","   .00 %",""," 20.00 %","","  1.67 %","   .92 %","  8.70 %"," 16.00 %","   .00 %","  7.14 %","   .00 %","","   .00 %","  3.81 %","   .00 %","   .00 %","   .00 %","","   .87 %"," 14.29 %","   .00 %","   .00 %","","   .00 %"," 13.64 %","","  3.33 %","  3.45 %"," 11.11 %","  4.88 %",""," 18.75 %"," 30.00 %","  7.69 %","  1.33 %"," 50.00 %"," 13.89 %","   .00 %"," 29.63 %","   .00 %"," 25.00 %","  3.64 %","  7.69 %","  6.45 %","  6.76 %","",""
"2020-07-31","   .00 %",""," 16.67 %","","   .82 %","   .87 %","  8.00 %","  6.90 %"," 33.33 %","  8.89 %","   .00 %","","  4.55 %","   .92 %"," 18.18 %","   .00 %","   .00 %","","  1.72 %","   .00 %"," 20.00 %","   .00 %","","   .00 %","   .00 %","   .00 %","  3.23 %","  6.67 %","  3.33 %","   .00 %","","   .00 %","  7.69 %","  8.93 %","  4.37 %","   .00 %","  9.76 %","   .00 %","  8.57 %"," 45.45 %","   .00 %","  8.77 %","  7.14 %","   .00 %","  7.59 %","",""
"2020-08-01","   .00 %","","   .00 %","","  2.03 %","  1.29 %"," 18.52 %","  9.68 %","   .00 %","  6.12 %","   .00 %","","  8.70 %","   .91 %"," 15.38 %","   .00 %","   .00 %","","  4.24 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","  3.12 %","  3.12 %","  6.45 %","   .00 %",""," 21.05 %","   .00 %","  1.64 %","  2.93 %","   .00 %","  2.22 %","   .00 %"," 15.79 %","   .00 %"," 10.00 %","   .00 %","  3.33 %","   .00 %","  5.88 %","",""
"2020-08-02","   .00 %","","   .00 %","","  1.59 %","   .80 %"," 10.94 %","   .00 %"," 50.00 %","  3.85 %","   .00 %","","  4.00 %","  4.50 %","  8.89 %","   .00 %","   .00 %","","  2.44 %","   .00 %"," 16.67 %","   .00 %",""," 33.33 %","   .00 %","","   .00 %","  9.09 %","   .00 %","  6.98 %",""," 17.39 %","  3.57 %","   .00 %","  3.25 %","   .00 %"," 13.04 %","   .00 %"," 13.64 %"," 18.75 %"," 18.18 %","  4.84 %","  3.23 %","  3.03 %","  6.67 %","",""
"2020-08-03","   .00 %","","   .00 %","","  1.96 %","   .89 %","  9.86 %","   .00 %","   .00 %","  1.85 %"," 12.50 %","","   .00 %","  4.31 %","  6.12 %"," 11.11 %","   .00 %","","  1.59 %"," 12.50 %","   .00 %","   .00 %",""," 50.00 %"," 16.00 %","","  3.03 %"," 13.89 %","  9.09 %"," 10.87 %",""," 18.52 %","  6.90 %","  8.06 %","  1.57 %","   .00 %","  7.69 %","   .00 %"," 10.00 %","  5.26 %","  7.69 %","  6.15 %","   .00 %","  2.94 %","  9.38 %","",""
"2020-08-04","   .00 %","","   .00 %","","  3.85 %","  1.20 %","  8.97 %","  8.82 %"," 16.67 %","  1.82 %","   .00 %","","   .00 %","  4.96 %"," 17.31 %","   .00 %"," 14.29 %","","  1.56 %"," 11.11 %"," 14.29 %","   .00 %","","   .00 %","  3.45 %","   .00 %","  2.94 %"," -2.44 %","  8.33 %","  1.96 %",""," 12.50 %","  3.23 %","  5.97 %","  -.39 %","   .00 %","   .00 %","  3.33 %"," 10.91 %"," 10.00 %"," 14.29 %","  5.80 %","  3.12 %","  2.86 %","  3.81 %","",""
"2020-08-05","   .00 %",""," 28.57 %","","  2.59 %","  1.14 %","  5.88 %"," 24.32 %","   .00 %","  3.57 %","   .00 %","","  3.85 %","  4.72 %","   .00 %","   .00 %","   .00 %","","  2.31 %"," 10.00 %","   .00 %","   .00 %","","   .00 %","  6.67 %","","   .00 %"," 10.00 %","  5.13 %","  5.77 %","","   .00 %","  6.25 %","  9.86 %","  2.33 %"," 22.22 %","  1.79 %","  3.23 %","  4.92 %","  9.09 %","  6.25 %","  4.11 %"," 10.61 %","  2.78 %","   .00 %","",""
"2020-08-06","   .00 %",""," 11.11 %","","  1.81 %","   .95 %","  6.67 %","  6.52 %","   .00 %","  6.90 %"," 33.33 %",""," 11.11 %","  2.26 %","  3.28 %","   .00 %","   .00 %","","  3.38 %","   .00 %"," 25.00 %"," 50.00 %",""," 50.00 %","  3.12 %","","  1.43 %","   .00 %","  4.88 %","   .00 %","","  8.33 %","  5.88 %","  3.85 %","  1.90 %","  9.09 %","  3.51 %","  4.69 %","  1.56 %","  4.17 %","  5.88 %","  6.58 %","  9.59 %","  2.70 %","  4.59 %","",""
"2020-08-07","   .00 %",""," 10.00 %","","  2.84 %","  1.07 %","  5.21 %","  6.12 %","   .00 %","   .00 %","  8.33 %","","  6.67 %","  3.68 %","  7.94 %"," 10.00 %"," 25.00 %","","   .73 %","   .00 %","   .00 %"," 33.33 %","","   .00 %","  9.09 %","","  1.41 %","  2.27 %"," 13.95 %","  1.82 %",""," 10.26 %","  8.33 %","  4.94 %","  2.24 %","   .00 %"," 10.17 %","   .00 %","  6.15 %","  4.00 %"," 11.11 %","  7.41 %","  6.25 %","  5.26 %","  1.75 %","",""
"2020-08-08","   .00 %","","  9.09 %","","  3.45 %","   .80 %"," 10.89 %","  5.77 %"," 14.29 %","  6.45 %"," 15.38 %","","  9.38 %","  2.84 %","  1.47 %","  9.09 %","  5.00 %","","  1.44 %","   .00 %"," 20.00 %","-25.00 %","","   .00 %","   .00 %","","  1.39 %","  6.67 %","  6.12 %","  8.93 %","","  2.33 %","  7.69 %","  5.88 %","  2.19 %","   .00 %","  3.08 %","  2.99 %","  8.70 %"," 15.38 %","  5.00 %","  2.30 %","  2.35 %","  5.00 %","  4.31 %","",""
"2020-08-09","   .00 %","","  8.33 %","","  1.67 %","   .53 %"," 11.61 %","  3.64 %"," 12.50 %","  6.06 %","  6.67 %","","   .00 %","  3.45 %","  5.80 %","   .00 %","   .00 %","","  2.14 %","   .00 %"," 16.67 %","   .00 %","","   .00 %","   .00 %","","  2.74 %","  8.33 %","   .00 %","  6.56 %","","  2.27 %","  7.14 %","  3.33 %","  2.14 %","   .00 %","  8.96 %","  2.90 %","  5.33 %"," 10.00 %","  9.52 %","  5.62 %","  5.75 %","   .00 %"," 10.74 %","",""
"2020-08-10","   .00 %","","   .00 %","","  1.64 %","  1.09 %","  5.60 %","  1.75 %","   .00 %","  5.71 %","   .00 %","","  2.86 %","  2.00 %","  9.59 %","  8.33 %","   .00 %","","  1.74 %"," 27.27 %","  7.14 %","   .00 %","","   .00 %"," 11.11 %","","  4.00 %","   .00 %","  7.69 %","  4.62 %",""," 11.11 %","  8.89 %","  3.23 %","  1.40 %","  8.33 %","  6.85 %","  2.82 %","  3.80 %","   .00 %","   .00 %","   .00 %","  5.43 %","   .00 %","  3.73 %","",""
"2020-08-11","   .00 %","","   .00 %","","  1.29 %","   .99 %","  6.06 %","  1.72 %","   .00 %","  2.70 %","   .00 %","","  2.78 %","   .00 %"," 16.25 %","   .00 %","  9.52 %","","  1.37 %"," 14.29 %","  6.67 %","   .00 %","","   .00 %","  2.50 %","   .00 %","   .00 %","  7.69 %","  3.57 %","  2.94 %","","  8.00 %"," 12.24 %","  2.08 %","  2.76 %"," 23.08 %","   .00 %","  5.48 %","  9.76 %","   .00 %"," 17.39 %","  6.38 %","  2.06 %","  2.38 %","   .00 %","",""
"2020-08-12","   .00 %","","  7.69 %","","  1.91 %","   .86 %","  6.43 %","  1.69 %","   .00 %","  6.58 %"," 12.50 %",""," 10.81 %","  3.27 %","  4.30 %","  7.69 %","   .00 %","","  2.03 %","   .00 %","   .00 %","   .00 %",""," 22.22 %","  4.88 %","","  1.28 %","  8.93 %","  5.17 %","  1.43 %","","  5.56 %","   .00 %","   .00 %","  3.69 %","  6.25 %","  2.56 %","  2.60 %"," 10.00 %","   .00 %"," 25.93 %","  1.00 %","  1.01 %","  2.33 %","  2.16 %","",""
"2020-08-13","   .00 %","","  7.14 %","","  2.19 %","   .59 %","  4.70 %","  8.33 %","   .00 %","  2.47 %","   .00 %","","  4.88 %","  4.43 %","  6.19 %"," 14.29 %","   .00 %","","  1.66 %","   .00 %"," 12.50 %","   .00 %","","   .00 %","  9.30 %","","  6.33 %","  3.28 %","  8.20 %","  1.41 %","","  7.02 %","  7.27 %","  5.10 %","  1.94 %","  5.88 %","   .00 %","  2.53 %","  7.07 %","  3.03 %","  8.82 %","  4.95 %","  1.00 %","  2.27 %","  1.41 %","",""
"2020-08-14","   .00 %","","  6.67 %","","  1.83 %","  1.01 %","  5.13 %","  7.69 %","   .00 %","  3.61 %","  5.56 %","","  2.33 %","  1.21 %","  4.85 %"," 12.50 %","  4.35 %","","   .33 %","   .00 %","   .00 %","   .00 %","","   .00 %","  2.13 %","","  1.19 %","  4.76 %","  4.55 %","  4.17 %","","  6.56 %","  3.39 %","  7.77 %","  2.86 %","   .00 %","  1.25 %"," -1.23 %","  3.77 %","  5.88 %","  8.11 %","  7.55 %","  3.96 %","   .00 %","  1.39 %","",""
"2020-08-15","   .00 %","","  6.25 %","","  1.20 %","  1.09 %","  4.27 %","  1.43 %"," 11.11 %","  4.65 %","   .00 %","","  6.82 %","  2.99 %","  2.78 %","   .00 %","  4.17 %","","  1.95 %","   .00 %"," 16.67 %","   .00 %","","   .00 %"," 12.50 %","","  1.18 %","  7.58 %","  1.45 %","  4.00 %","","  3.08 %"," 11.48 %","  2.70 %","   .93 %","  5.56 %","  3.70 %","  6.25 %","  4.55 %"," -2.78 %"," 10.00 %","  3.51 %","  3.81 %","   .00 %","  4.11 %","",""
"2020-08-16","   .00 %","","   .00 %","","   .89 %","   .83 %","  8.19 %","  2.82 %"," 10.00 %","   .00 %"," 21.05 %","","  4.26 %","  1.74 %","  2.70 %","  5.56 %","  4.00 %","","  1.91 %","   .00 %","   .00 %","   .00 %","","   .00 %"," 11.11 %","","  1.16 %","  2.82 %","  7.14 %","  6.41 %","","  2.99 %","  7.35 %","   .00 %","  3.06 %","  5.26 %","  3.57 %","  1.18 %","  6.09 %","  2.86 %","  6.82 %","  3.39 %","   .92 %","  6.67 %","  3.29 %","",""
"2020-08-17","   .00 %","","   .00 %","","  2.06 %","   .98 %","  5.95 %","  1.37 %","   .00 %","  3.33 %","  4.35 %","","  2.04 %","  1.71 %","  4.39 %"," 10.53 %","   .00 %","","   .94 %","   .00 %","  9.52 %"," 33.33 %","","  9.09 %","  3.33 %","","  2.30 %","  8.22 %","  2.67 %","  3.61 %","","  4.35 %","  2.74 %","   .88 %","  1.19 %","  5.00 %","   .00 %","  8.14 %","  4.92 %"," 13.89 %","  2.13 %","  3.28 %","  4.55 %","   .00 %","   .64 %","",""
"2020-08-18","   .00 %",""," 11.76 %","","  2.02 %","   .93 %","  2.55 %","  5.41 %","   .00 %","  1.08 %","  8.33 %","","  6.00 %","  3.93 %","  5.88 %","  4.76 %","   .00 %","","   .93 %"," 12.50 %","  8.70 %","   .00 %","","  8.33 %","  8.06 %","","  2.25 %","  5.06 %"," 10.39 %","  1.16 %","","  2.78 %","  6.67 %","   .87 %","  1.47 %"," 23.81 %","  1.15 %","  1.08 %","  1.56 %","  2.44 %","   .00 %","   .79 %","  4.35 %","  2.08 %","   .63 %","",""
"2020-08-19","   .00 %","","  5.26 %","","  1.13 %","   .64 %","  7.96 %","  6.41 %","   .00 %","  6.38 %","  3.85 %","","   .00 %","  1.62 %","  3.17 %","  4.55 %","   .00 %","","   .61 %"," 11.11 %","   .00 %","   .00 %","","   .00 %","  1.49 %","","  3.30 %"," 15.66 %","   .00 %","  3.45 %","","  5.41 %","  2.50 %","  3.45 %","  2.60 %","  7.69 %","  3.41 %","   .00 %","  2.31 %","  4.76 %","  2.08 %","  1.57 %","  -.83 %","  2.04 %","  1.89 %","",""
"2020-08-20","   .00 %","","  5.00 %","","   .84 %","   .80 %","  5.07 %","  6.02 %","   .00 %","  4.00 %","  3.70 %","","  5.66 %","  2.13 %","  4.62 %","   .00 %","   .00 %","","   .30 %"," 15.00 %","   .00 %","   .00 %","","  7.69 %","  1.47 %","","   .00 %","  1.04 %","  8.24 %","  2.22 %","","  6.41 %","  2.44 %","  2.50 %","  1.97 %","  7.14 %","  1.10 %","  2.13 %","  2.26 %"," 11.36 %","  4.08 %","  3.10 %","  4.20 %","  2.00 %","   .00 %","",""
"2020-08-21","   .00 %","","  9.52 %","","   .83 %","   .79 %","  1.32 %","  4.55 %","   .00 %","  2.88 %","  3.57 %","","  1.79 %","  3.65 %","  2.21 %","   .00 %","   .00 %","","   .30 %"," 13.04 %"," 12.00 %"," 25.00 %","","   .00 %","  2.90 %","","   .00 %","  3.09 %","  6.52 %","  3.26 %","","  3.61 %","  2.38 %","  1.63 %","  1.10 %","  6.67 %","  1.09 %","  2.08 %","  2.21 %","  2.04 %","  1.96 %","  2.26 %","  3.23 %","  1.96 %","  1.85 %","",""
"2020-08-22","   .00 %","","  4.35 %","","  1.65 %","   .28 %","  1.73 %","  5.43 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .50 %","  2.88 %","   .00 %","  3.85 %","","   .30 %","  7.69 %","  3.57 %","   .00 %","","   .00 %","  1.41 %","","  3.19 %","  4.00 %","  4.08 %","  3.16 %","","  2.33 %","  2.33 %","   .80 %","   .55 %","   .00 %","  2.15 %","  4.08 %","  3.60 %","  2.00 %","  1.92 %","  2.21 %","  2.34 %","  7.69 %","  1.21 %","",""
"2020-08-23","   .00 %","","   .00 %","","  1.08 %","   .67 %","   .85 %","  2.06 %","   .00 %","  2.80 %","  6.90 %","","  1.75 %","  1.50 %","   .70 %","  4.35 %","   .00 %","","   .91 %","  3.57 %","   .00 %"," 60.00 %","","  7.14 %","   .00 %","","   .00 %","  1.92 %","  7.84 %","  3.06 %","","  3.41 %","  3.41 %","  5.56 %","  1.63 %","  9.38 %","  1.05 %","  2.94 %","  2.08 %","  1.96 %","   .00 %","   .00 %","  4.58 %","  1.79 %","  1.80 %","",""
"2020-08-24","   .00 %","","   .00 %","","   .53 %","   .86 %","  2.95 %","  4.04 %","   .00 %","  2.73 %","   .00 %","","  1.72 %","  3.94 %","  3.47 %","   .00 %","  3.70 %","","   .90 %","   .00 %","  3.45 %","   .00 %","","   .00 %","  4.17 %","","   .00 %","  1.89 %","  1.82 %","   .99 %","","  3.30 %","  4.40 %","   .00 %","   .53 %","   .00 %","  5.21 %","   .00 %","  2.72 %","  3.85 %","   .00 %","  2.88 %","   .73 %","  5.26 %","  2.35 %","",""
"2020-08-25","   .00 %","","   .00 %","","   .27 %","   .77 %","  3.28 %","  1.94 %","   .00 %","   .88 %","  3.23 %","","  5.08 %","  1.90 %","  2.01 %","   .00 %","   .00 %","","   .59 %","  3.45 %"," 10.00 %"," 12.50 %","","  6.67 %","  5.33 %","","  1.03 %","   .93 %","  2.68 %","   .98 %","","  2.13 %","  6.32 %","  1.50 %","  1.33 %","  2.86 %","  1.98 %","  5.71 %","  4.64 %","  1.85 %","  1.89 %","  2.80 %","  2.17 %","  1.67 %","  2.87 %","",""
"2020-08-26","   .00 %",""," 12.50 %","","  1.86 %","   .58 %","  3.97 %","  1.90 %","   .00 %","  1.75 %"," 15.62 %","","   .00 %","  4.19 %","  3.29 %","  4.17 %","   .00 %","","   .29 %","   .00 %","   .00 %"," 11.11 %","","   .00 %","  5.06 %","","  3.06 %","  1.83 %","  6.96 %","   .97 %","","  3.12 %","  4.95 %","  1.48 %","   .52 %","  8.33 %","  1.94 %","   .00 %","  3.80 %","   .00 %","  5.56 %","  2.04 %","  3.55 %","  1.64 %","  2.23 %","",""
"2020-08-27","   .00 %","","  3.70 %","","  2.60 %","  1.07 %","  4.58 %","   .00 %"," 18.18 %","   .86 %"," -2.70 %","","  3.23 %","  1.34 %","  1.27 %","   .00 %","  3.57 %","","  1.18 %"," 13.33 %","  3.03 %","   .00 %","","  6.25 %","  2.41 %","","   .00 %","  2.70 %","  2.44 %","   .00 %","","  1.01 %","   .94 %","   .73 %","  3.92 %","  5.13 %","   .00 %","  1.80 %","  1.22 %","  1.82 %","  3.51 %","   .67 %","   .68 %","   .00 %","   .55 %","",""
"2020-08-28","   .00 %","","  7.14 %","","  2.03 %","   .91 %","  2.19 %","  7.48 %","   .00 %","  2.56 %","  2.78 %","","  3.12 %","   .44 %","  3.14 %","   .00 %","   .00 %","","  1.45 %","  5.88 %","  5.88 %","   .00 %","","   .00 %","  3.53 %","","  1.98 %","   .88 %","  2.38 %","  1.92 %","","  1.00 %","  1.87 %","   .72 %","  1.26 %","   .00 %","  2.86 %","   .00 %","   .60 %","  1.79 %","  5.08 %","  1.99 %","   .00 %","   .00 %","  1.09 %","",""
"2020-08-29","   .00 %","","  3.33 %","","  1.74 %","   .82 %","  3.21 %","   .87 %","   .00 %","  1.67 %","  2.70 %","","  4.55 %","  2.63 %","  3.66 %","   .00 %","   .00 %","","  1.15 %","  2.78 %","   .00 %","   .00 %","","   .00 %","  2.27 %","","   .00 %","  1.74 %","  3.88 %","   .00 %","","   .99 %","  1.83 %","   .72 %"," -2.23 %","  2.44 %","   .93 %","  1.77 %","  1.80 %","  1.75 %","  3.23 %","  1.30 %","  4.08 %","  1.61 %","   .54 %","",""
"2020-08-30","   .00 %","","   .00 %","","  1.96 %","   .63 %","  1.73 %","  4.31 %","   .00 %","  1.64 %","  2.63 %","","  5.80 %","  2.56 %","  1.76 %","   .00 %","  3.45 %","","   .85 %","  8.11 %","  2.78 %","   .00 %","","   .00 %","  3.33 %","","   .97 %","   .85 %","  6.72 %","   .94 %","","   .00 %","  2.70 %","   .00 %","   .51 %","   .00 %","   .00 %","  3.48 %","  1.18 %","  5.17 %","  1.56 %","   .64 %","  1.96 %","   .00 %","   .53 %","",""
"2020-08-31","   .00 %","","   .00 %","","   .48 %","   .66 %","  4.76 %","  1.65 %","   .00 %","   .00 %","  5.13 %","","   .00 %","  3.33 %","   .58 %","   .00 %","   .00 %","","   .28 %","  5.00 %","  2.70 %","   .00 %","","   .00 %","  4.30 %","   .00 %","  1.92 %","  1.69 %","  2.10 %","   .00 %","","   .98 %","  1.75 %","   .00 %","  1.52 %","  2.38 %","   .92 %","   .84 %","   .58 %","   .00 %","   .00 %","  3.82 %","  5.13 %","  1.59 %","   .53 %","",""
"2020-09-01","   .00 %","","   .00 %","","  2.15 %","   .84 %","   .65 %","  1.63 %","   .00 %","  1.61 %","  2.44 %","","  4.11 %","   .81 %","  1.15 %","  4.00 %","   .00 %","","   .00 %","   .00 %","  2.63 %","   .00 %","","   .00 %","  4.12 %","","   .94 %","  3.33 %","  6.85 %","   .93 %","","   .97 %","   .86 %","  2.86 %","  1.74 %","  4.65 %","   .91 %","   .00 %","  1.16 %","   .00 %","  1.54 %","  1.84 %","  2.44 %","  1.56 %","   .53 %","",""
"2020-09-02","   .00 %","","   .00 %","","  2.10 %","   .65 %","  1.61 %","  2.40 %","   .00 %","  1.59 %","  2.38 %","","  3.95 %","  2.00 %","  5.11 %","   .00 %","  6.67 %","","   .56 %","  7.14 %","   .00 %"," 10.00 %","","   .00 %","   .99 %","","   .00 %","   .81 %","  2.56 %","   .93 %","","   .00 %","   .00 %","  1.39 %","   .98 %","  4.44 %","   .90 %","  1.67 %","  1.71 %","  3.28 %","  4.55 %","  1.81 %","  1.19 %","  4.62 %","   .53 %","",""
"2020-09-03","   .00 %","","   .00 %","","  1.83 %","   .94 %","   .95 %","  1.56 %","   .00 %","  1.56 %","  2.33 %","","  2.53 %","   .78 %","  1.08 %","  7.69 %","  3.12 %","","   .00 %","  6.67 %","  2.56 %","  9.09 %","","   .00 %","   .98 %","","   .00 %","  1.60 %","  3.12 %","   .00 %","","   .96 %","  1.71 %","  1.37 %","  1.94 %","  6.38 %","   .00 %","   .00 %","  1.12 %","  1.59 %","  4.35 %","  1.18 %","   .00 %","  2.94 %","  1.05 %","",""
"2020-09-04","   .00 %","","   .00 %","","   .67 %","   .43 %","  1.26 %","  2.31 %","   .00 %","  3.08 %","   .00 %","","  2.47 %","  1.56 %","   .53 %","  3.57 %","   .00 %","","  1.11 %","  6.25 %","  2.50 %","  8.33 %","","   .00 %","   .97 %","","   .00 %","  1.57 %","  3.03 %","   .00 %","","  1.90 %","   .00 %","   .00 %","  1.43 %","  4.00 %","   .89 %","   .00 %","  1.11 %","  1.56 %","  2.78 %","  1.75 %","   .59 %","  7.14 %","  1.55 %","",""
"2020-09-05","   .00 %","","   .00 %","","   .89 %","   .78 %","   .31 %","  3.01 %","   .00 %","   .00 %","  2.27 %","","  1.20 %","   .38 %","  2.66 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","  7.69 %","","   .00 %","  2.88 %","","   .93 %","  1.55 %","  3.53 %","   .00 %","","   .00 %","   .84 %","   .68 %","   .23 %","  3.85 %","   .00 %","   .82 %","  1.65 %","  1.54 %","  2.70 %","   .00 %","   .00 %","   .00 %","   .00 %","",""
"2020-09-06","   .00 %","","  3.23 %","","   .66 %","   .49 %","  1.55 %","  3.65 %","  7.69 %","  2.99 %","  8.89 %","","  1.19 %","  1.15 %","  1.04 %","   .00 %","   .00 %","","   .55 %","  3.92 %","  4.88 %","   .00 %","","   .00 %","  1.87 %","","   .93 %","   .76 %","  3.41 %","   .00 %","","   .93 %","   .83 %","   .00 %","  1.87 %","  1.85 %","   .00 %","   .00 %","  1.08 %","  1.52 %","  5.26 %","  1.15 %","  1.75 %","  2.67 %","   .51 %","",""
"2020-09-07","   .00 %","","  9.38 %","","   .66 %","   .56 %","  1.22 %","  3.52 %"," 14.29 %","   .72 %","   .00 %","","   .00 %","  1.51 %","  1.03 %","   .00 %","  3.03 %","","   .27 %","  3.77 %","  4.65 %","   .00 %","","  5.88 %","  4.59 %","","   .00 %","  3.03 %","  3.30 %","  1.83 %","","   .93 %","  1.65 %","   .67 %","  1.38 %","  7.27 %","   .00 %","   .81 %","   .00 %","  1.49 %","  2.50 %","  2.27 %","  1.15 %","   .00 %","   .51 %","",""
"2020-09-08","   .00 %","","  2.86 %","","   .66 %","   .63 %","   .00 %","  6.12 %","   .00 %","  2.16 %","  4.08 %","","   .00 %","  1.86 %","   .00 %","  3.45 %","  5.88 %","","   .27 %","  3.64 %","  2.22 %","   .00 %","","   .00 %","  1.75 %","","   .92 %","  1.47 %","  3.19 %","  1.80 %","","  1.83 %","   .00 %","  1.33 %","   .90 %","  1.69 %","   .88 %","   .81 %","  1.07 %","   .00 %","   .00 %","  1.11 %","  3.41 %","  3.90 %","  1.01 %","",""
"2020-09-09","","","   .00 %","","   .87 %","   .49 %","  1.81 %","  1.28 %","   .00 %","  2.11 %","   .00 %","","   .00 %","   .73 %","  2.03 %","  3.33 %"," 13.89 %","","   .27 %","  1.75 %","  2.17 %","   .00 %","","   .00 %","   .00 %","","   .91 %","   .00 %","  1.55 %","   .88 %","","  1.80 %","   .81 %","   .66 %","  2.02 %","  3.33 %","   .88 %","  4.00 %","   .53 %","  1.47 %","  1.22 %","  1.65 %","   .00 %","  1.25 %","   .50 %","",""
"2020-09-10","   .00 %","","  2.78 %","","   .43 %","   .38 %","   .59 %","  3.80 %","   .00 %","   .00 %","  3.92 %","","   .00 %","   .36 %","  1.99 %","   .00 %","   .00 %","","   .00 %"," 12.07 %","  2.13 %","   .00 %","","   .00 %","   .86 %","","   .90 %","  1.45 %","  3.55 %","   .00 %","","   .00 %","  1.61 %","   .00 %","   .88 %","  1.61 %","   .87 %","   .00 %","  1.05 %","  1.45 %","   .00 %","  1.08 %","  1.65 %","   .00 %","   .00 %","",""
"2020-09-11","   .00 %","","   .00 %","","   .43 %","   .72 %","   .88 %","  1.22 %"," 18.75 %","  1.38 %","   .00 %","","  2.35 %","   .72 %","   .49 %","   .00 %","  2.44 %","","   .54 %","  1.54 %","   .00 %"," 14.29 %","","  5.56 %","   .85 %","","   .89 %","  1.43 %","  2.94 %","   .00 %","","   .00 %","  1.59 %","  1.31 %","  1.74 %","  1.59 %","   .00 %","   .77 %","   .00 %","  1.43 %","   .00 %","  1.07 %","  1.08 %","  2.47 %","   .50 %","",""
"2020-09-12","   .00 %","","   .00 %","","   .85 %","   .58 %","  1.75 %","  2.41 %","   .00 %","   .68 %","  3.77 %","","   .00 %","  2.51 %","   .00 %","   .00 %","  4.76 %","","   .00 %","  1.52 %","  4.17 %","  6.25 %","","   .00 %","   .00 %","","   .00 %","   .70 %","  3.81 %","   .00 %","","  2.65 %","   .00 %","   .65 %","   .64 %","   .00 %","   .86 %","   .76 %","   .52 %","  2.82 %","  1.20 %","  1.59 %","  2.14 %","   .00 %","   .00 %","",""
"2020-09-13","   .00 %","","   .00 %","","  1.27 %","   .58 %","  1.15 %","  2.35 %","  5.26 %","   .68 %","  5.45 %","","   .00 %","   .70 %","   .49 %","  3.23 %","   .00 %","","  1.08 %","   .00 %","   .00 %","   .00 %","","   .00 %","  2.54 %","","   .00 %","  1.40 %","  4.59 %","   .00 %","","   .00 %","   .00 %","   .00 %","  1.28 %","  1.56 %","   .00 %","   .76 %","   .00 %","   .00 %","  1.19 %","  1.04 %","  1.05 %","  2.41 %","   .00 %","",""
"2020-09-14","   .00 %","","   .00 %","","  1.25 %","   .54 %","  1.13 %","  2.87 %","   .00 %","   .00 %","  5.17 %","","  3.45 %","  -.35 %","   .48 %","  3.12 %","   .00 %","","  -.80 %","  2.99 %","  2.00 %","   .00 %","","   .00 %","   .00 %","","   .88 %","   .00 %","  1.32 %","   .00 %","","  1.72 %","  1.56 %","   .00 %","  1.89 %","   .00 %","   .00 %"," -1.50 %"," -1.04 %","   .00 %","  1.18 %","   .00 %","   .52 %"," -2.35 %","   .99 %","",""
"2020-09-15","   .00 %","","   .00 %","","   .82 %","   .40 %","  1.12 %","  2.79 %","   .00 %","   .67 %","  1.64 %","","   .00 %","   .00 %","   .96 %","   .00 %","  2.27 %","","   .54 %","  1.45 %","  1.96 %","   .00 %","","   .00 %","   .83 %","","   .00 %","   .00 %","  3.90 %","   .00 %","","  2.54 %","  1.54 %","  1.92 %","  1.03 %","   .00 %","   .00 %","   .76 %","   .00 %","  4.11 %","  1.16 %","  1.55 %","  1.03 %","   .00 %","   .49 %","",""
